"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
419,44,3746.24,42349.7,3892.88,6.04532
420,44,49606.2,42365.3,2805.49,8.12258
421,44,5845.49,44493,3414.75,6.7966
422,44,35681.4,45164.9,3453.63,6.72779
423,44,4038.84,45410.4,4091.32,5.78475
424,44,27258.3,45636.5,1990.83,11.1575
425,44,40461.8,46180,1933.96,11.4645
426,44,28286.2,47217,3435.06,6.76046
427,44,5943.08,48726.4,7875.11,3.31217
428,61,22404.6,827.875,6070.54,4.11173
429,61,6752.32,1129.38,5109.65,4.76377
430,61,36705.6,2241.23,3339.32,6.93465
431,61,33310.4,2416.41,3559.81,6.54747
432,61,9711.64,3532.13,2793.31,8.15497
433,61,38036.2,4246.84,4658.22,5.1618
434,61,43908.6,5444.36,3746.07,6.25572
435,61,32364.8,5480.41,4553.78,5.26501
436,61,12352.7,6872.92,3013.8,7.6092
437,61,7718.23,7529.74,10981.8,2.54165
438,61,31452.5,9287.95,4083.2,5.79493
439,61,2097.91,9386.21,3658.46,6.38928
440,61,15389.7,10961.8,2514.79,8.98058
441,61,2195.52,13517.8,3338.74,6.93573
442,61,15858.1,13996.8,2677.26,8.47818
443,61,13774.2,14305.5,3982.81,5.92403
444,61,10625.5,16434.6,5502.48,4.47003
445,61,5757.62,17130.6,2986.53,7.67235
446,61,23726.8,17775.1,4359.98,5.46951
447,61,8491.98,18396.2,2110.94,10.5633
448,61,18402.8,18672,1844.02,11.9887
449,61,1260.83,19012.6,7695.23,3.37533
450,61,22405.1,21220.8,1737.84,12.6772
451,61,42481.8,21649.2,2725.42,8.34072
452,61,39918.7,22007.4,5771.72,4.29154
453,61,49327.6,25253.3,3066.02,7.49138
454,61,37490.5,26900.9,4944.86,4.90073
455,61,47463.4,27205.2,3566.78,6.53602
456,61,45485.5,27433.7,3424.04,6.78002
457,61,25030.8,28001.1,3093.3,7.43143
458,61,29537.9,29524.8,2599.51,8.71081
459,61,21009.3,29914.7,1480.21,14.7577
460,61,32376.4,32508.4,5294.17,4.62043
461,61,3371.97,33876.8,3569.1,6.53221
462,61,35471.9,34103.7,2239.75,9.99663
463,61,24811.9,34758.6,3132.17,7.34776
464,61,43850.9,34979.8,2432.4,9.26093
465,61,23508.4,34945.8,5389.33,4.5503
466,61,48330.2,35004.5,3056.16,7.51333
467,61,46892.1,35251.1,4263.65,5.578
468,61,2617.23,36103.3,3624.22,6.44321
469,61,1768.46,37327.1,1675.17,13.1245
470,61,5006.3,37627.8,3236.62,7.13289
471,61,5842.49,40427.3,4077.98,5.80149
472,61,3767.88,42350.1,4113.95,5.75662
473,61,49608.4,42397,2814.78,8.09809
474,61,5864.16,44437.7,3307.99,6.99383
475,61,35703.8,45174.6,3424.04,6.78002
476,61,4065.51,45415.3,4080.88,5.79784
477,61,27298.2,45643.6,2233.95,10.0208
478,61,40463.7,46194.3,1797.6,12.2797
479,61,28263.6,47203.4,3469.3,6.7005
480,61,5957.36,48732.4,7907.02,3.30126
481,62,22412.7,847.133,6269.57,4.00136
482,62,6786.65,1118.97,5378.89,4.55788
483,62,36681.2,2253.62,3569.1,6.53221
484,62,33280.3,2433.43,3957.86,5.95713
485,62,9716.02,3517.47,2770.68,8.21588
486,62,38054.6,4251.77,4672.15,5.14838
487,62,43886.5,5439.48,3587.09,6.50287
488,62,32368.7,5417.95,4388.99,5.43776
489,62,12343.9,6839.94,3050.94,7.525
