"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
512,63,6658.51,663.688,4066.95,5.81539
513,63,36651.6,1811.86,3145.52,7.31952
514,63,33336.1,2040.78,3544.73,6.57244
515,63,9696.55,3109.54,2865.84,7.96621
516,63,38058.3,3843.14,3735.63,6.27132
517,63,43908.3,5011.19,3686.89,6.34525
518,63,32317.7,5038.14,3753.62,6.24451
519,63,12330.5,6409.8,2709.17,8.38655
520,63,7721.53,7112.66,8213.4,3.20074
521,63,31481.9,8888.88,3152.48,7.30487
522,63,2048.77,8982.35,2811.3,8.10725
523,63,15361.7,10588.2,2793.31,8.15497
524,63,2205.49,13095.6,2706.27,8.39479
525,63,15769.6,13542.1,2820.58,8.08286
526,63,13757.4,13884.5,3325.4,6.96081
527,63,10640.4,16033.5,3918.99,6.00954
528,63,5750.11,16642.8,2788.67,8.16739
529,63,23732.2,17325.6,4812.57,5.01739
530,63,8473.83,17957.2,2302.42,9.74384
531,63,18338.2,18261.3,2281.53,9.82656
532,63,1237.8,18605.9,6361.83,3.95251
533,63,22366.7,20833.4,1798.77,12.2722
534,63,42517.4,21260.1,2866.42,7.96474
535,63,39858.2,21541.5,4876.98,4.95981
536,63,49292.9,24754.8,3066.6,7.49009
537,63,37443.8,26486.7,4391.31,5.43523
538,63,47483.2,26822.3,3072.99,7.47597
539,63,45537.3,27027,3223.85,7.15841
540,63,25010.5,27555.7,3093.3,7.43143
541,63,29477.2,29057.8,2321.57,9.66931
542,63,20928.6,29477.3,1635.72,13.4236
543,63,32316,32024.7,3852.84,6.10113
544,63,3270.93,33463,3331.78,6.94879
545,63,35514.6,33678.6,1608.44,13.6389
546,63,24787.4,34376.5,3312.63,6.98499
547,63,43832.6,34591.4,2287.91,9.80112
548,63,23449.2,34524.3,4446.43,5.3761
549,63,48298.4,34625.5,3327.14,6.95753
550,63,46924.8,34815.6,4990.7,4.86173
551,63,2617.88,35729.9,2930.25,7.80639
552,63,1717.48,36951.6,1469.19,14.8629
553,63,4909.29,37238.7,2763.14,8.2364
554,63,5879.03,40059.3,2867.58,7.9618
555,63,3670.91,41928.5,3256.35,7.09385
556,63,5864.52,44041.3,2152.14,10.3747
557,63,35641.9,44802.6,2354.06,9.5456
558,63,3990.24,44970.4,3328.3,6.95534
559,63,27231,45221.6,2019.26,11.0105
560,63,40457.7,45774.5,1489.49,14.6702
561,63,28288.3,46777.9,1444.81,15.1014
562,63,5893.69,48340.3,5526.85,4.45317
563,64,6681.76,699.59,4118.59,5.75089
564,64,36701.2,1793.84,3263.89,7.07904
565,64,33343.6,2036.77,3368.33,6.88082
566,64,9665,3096,2938.37,7.78673
567,64,38062.5,3838.73,3744.91,6.25745
568,64,43917.8,5006.89,3598.69,6.4841
569,64,32326.2,5034.45,3659.04,6.38838
570,64,12325.8,6422.83,2867,7.96327
571,64,7737.86,7070.68,8190.77,3.20791
572,64,31467.2,8905.85,2914.58,7.84462
573,64,2022.46,8951.93,2776.48,8.20017
574,64,15363.4,10600.3,2759.65,8.24591
575,64,2192.89,13087.2,2661.01,8.52567
576,64,15742,13540.6,2955.2,7.74634
577,64,13759.9,13853.3,3274.91,7.05752
578,64,10659.8,16004.3,3511.65,6.62791
579,64,5762.06,16663,2900.65,7.87894
580,64,23733.6,17334,4425.54,5.39833
